cik,acc_nodash,date_filed,company_name,form_type,parse_status,item401_text,auditor_out,auditor_in,reason,disagreements
764478,000110465905008310,2005-02,BEST BUY CO INC,8-K/A,no_items_found,,,,,
811809,000095017205000889,2005-03,BHP BILLITON LTD,8-K/A,no_items_found,,,,,
811809,000095017205000891,2005-03,BHP BILLITON LTD,8-K/A,no_items_found,,,,,
1058767,000118518505000050,2005-01,BIOMODA INC/NM,8-K/A,no_items_found,,,,,
1173359,000089710105000765,2005-03,CAPSOURCE FINANCIAL INC,8-K/A,no_items_found,,,,,
814676,000081467605000002,2005-02,CERAMICS PROCESS SYSTEMS CORP/DE/,8-K/A,no_items_found,,,,,
1118326,000083248805000006,2005-03,CERTIFIED SERVICES INC,8-K/A,no_items_found,,,,,
721693,000101054905000056,2005-01,CHINA DIGITAL WIRELESS INC,8-K/A,no_items_found,,,,,
1123440,000114420405000361,2005-01,"CHINA FINANCE, INC.",8-K/A,no_items_found,,,,,
1125280,000094935305000071,2005-02,CHINA WIRELESS COMMUNICATIONS INC,8-K/A,no_items_found,,,,,
922717,000095015505000048,2005-03,CHINDEX INTERNATIONAL INC,8-K/A,no_items_found,,,,,
230131,000119312505052532,2005-03,COMDIAL CORP,8-K/A,no_items_found,,,,,
1109879,000119312505036142,2005-02,COMPUTER SOFTWARE INNOVATIONS INC,8-K/A,no_items_found,,,,,
1138173,000095012905001731,2005-02,CONSUMER DIRECT OF AMERICA,8-K/A,no_items_found,,,,,
1063665,000106366505000008,2005-03,CORGENIX MEDICAL CORP/CO,8-K/A,no_items_found,,,,,
1168938,000109328705000059,2005-03,CRAFTY ADMIRAL ENTERPRISES LTD,8-K/A,no_items_found,,,,,
949721,000114420405001561,2005-01,CREATIVE BAKERIES INC,8-K/A,no_items_found,,,,,
1113524,000114420405003111,2005-02,CREATIVE VISTAS INC,8-K/A,no_items_found,,,,,
1310785,000091412105000538,2005-03,CSFB COMMERCIAL MORT PASS THR CERTS SER 2004 C5,8-K/A,no_items_found,,,,,
1313077,000090514805001355,2005-03,CWABS INC ASSET BACKED CERTIFICATES SERIES 2004-15,8-K/A,no_items_found,,,,,
1118480,000116415005000053,2005-02,CYBER DEFENSE SYSTEMS INC,8-K/A,no_items_found,,,,,
849778,000119312505030250,2005-02,CYTYC CORP,8-K/A,no_items_found,,,,,
1166414,000130101705000019,2005-01,Cobalis Corp,8-K/A,no_items_found,,,,,
1164256,000105291805000106,2005-02,DAYBREAK MINES INC,8-K/A,no_items_found,,,,,
836809,000109000205000018,2005-01,DIMENSIONAL VISIONS INC/ DE,8-K/A,no_items_found,,,,,
1091406,000109140605000004,2005-03,EDGAR FILINGNET INC,8-K/A,no_items_found,,,,,
1038833,000119312505038181,2005-02,EDUCATION LOANS INC /DE,8-K/A,no_items_found,,,,,
1038833,000119312505038183,2005-02,EDUCATION LOANS INC /DE,8-K/A,no_items_found,,,,,
31667,000095013405004736,2005-03,EDUCATIONAL DEVELOPMENT CORP,8-K/A,no_items_found,,,,,
797662,000110262405000029,2005-02,ELEMENT 21 GOLF CO,8-K/A,no_items_found,,,,,
858800,000115752305000927,2005-02,EMCLAIRE FINANCIAL CORP,8-K/A,no_items_found,,,,,
1289047,000128904705000003,2005-02,"ENERGENX, INC.",8-K/A,no_items_found,,,,,
1142336,000095012405002013,2005-03,"FAMILY HOME HEALTH SERVICES, INC.",8-K/A,no_items_found,,,,,
1085913,000108591305000010,2005-03,FARMERS & MERCHANTS BANCORP,8-K/A,no_items_found,,,,,
710507,000106880005000215,2005-03,FIRST BANKS INC,8-K/A,no_items_found,,,,,
1137102,000105640405001198,2005-03,FIRST UNION COMM MORT TRUST COMM MOR PAS THR CER SER 1999-C1,8-K/A,no_items_found,,,,,
911004,000095017205000449,2005-02,FRIEDMANS INC,8-K/A,no_items_found,,,,,
1062663,000123174205000050,2005-01,"FTS GROUP, INC.",8-K/A,no_items_found,,,,,
757563,000129707705000041,2005-03,FURIA ORGANIZATION INC /DE/,8-K/A,no_items_found,,,,,
1160764,000114420405001660,2005-01,"GENERAL COMPONENTS, INC.",8-K/A,no_items_found,,,,,
1122991,000111650205000422,2005-03,GLEN MANOR RESOURCES INC,8-K/A,no_items_found,,,,,
944020,000126246305000032,2005-03,GTREX INC,8-K/A,no_items_found,,,,,
949427,000101968705000127,2005-01,HARTCOURT COMPANIES INC,8-K/A,no_items_found,,,,,
47035,000120180005000015,2005-01,HERLEY INDUSTRIES INC /NEW,8-K/A,no_items_found,,,,,
923118,000092311805000047,2005-03,HOME PROPERTIES INC,8-K/A,no_items_found,,,,,
225463,000090631805000022,2005-01,HUFFY CORP,8-K/A,no_items_found,,,,,
1266719,000101376205000266,2005-03,"Harbin Electric, Inc",8-K/A,no_items_found,,,,,
1312101,000116231805000239,2005-03,HarborView Mortgage Loan Trust 2004-10,8-K/A,no_items_found,,,,,
1307410,000116231805000006,2005-01,HarborView Mortgage Loan Trust 2004-8,8-K/A,no_items_found,,,,,
1275229,000105291805000092,2005-02,IDAHO GENERAL MINES INC,8-K/A,no_items_found,,,,,
1042291,000101968705000060,2005-01,ILINC COMMUNICATIONS INC,8-K/A,no_items_found,,,,,
1063842,000114420405002395,2005-01,IMAGE INNOVATIONS HOLDINGS INC,8-K/A,no_items_found,,,,,
1025707,000093041305000122,2005-01,"INCENTRA SOLUTIONS, INC.",8-K/A,no_items_found,,,,,
