cik,acc_nodash,date_filed,company_name,reason
0001073876,000107938204000010,2004-04-23,VISUAL BIBLE INTERNATIONAL INC,no_permno_link
0001076784,000110454004000101,2004-04-26,GAOFENG GOLD CORP,no_permno_link
0001109553,000109690604000173,2004-04-26,ISLAND CRITICAL CARE CORP,no_permno_link
0000070684,000007068404000022,2004-04-26,NATIONAL WESTERN LIFE INSURANCE CO,no_permno_link
0001005214,000125529404000135,2004-04-26,AMERICAN WAGERING INC,no_permno_link
0001214802,000095012304005172,2004-04-27,MERRILL LYNCH DEPOSITOR INC PREFERREDPLUS TRUST SERIES GRC 1,no_permno_link
0001144515,000091431704001739,2004-04-27,AJS BANCORP INC,no_permno_link
0001282615,000106823804000722,2004-04-27,STRUCTURED PRODUCTS CORP TIERSSM TENS CERTS SER LTR 1998-4,no_permno_link
0001040240,000094787104001222,2004-04-27,MERRILL LYNCH DEPOSITOR INC,no_permno_link
0001217035,000095012304005173,2004-04-27,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES VAL 1,no_permno_link
0001038833,000119312504070571,2004-04-27,EDUCATION LOANS INC /DE,no_permno_link
0001102065,000114420404005453,2004-04-27,LISKA BIOMETRY INC,no_permno_link
0000713671,000071367104000025,2004-04-27,DNB FINANCIAL CORP /PA/,no_permno_link
0001221112,000106823804000730,2004-04-27,STRUCTURED PRODUCTS CORP CAST STEP-UP TRUST FOR GECC NOTES,no_permno_link
0001230352,000106823804000729,2004-04-27,STRUCTURED PROD CORP STEP UP TR CREDIT SUISSE FIRST BOSTON,no_permno_link
0001225527,000106823804000731,2004-04-27,STRUCTURED PRODUCTS CORP CAST SM STEP UP TR II GE CAP CORP,no_permno_link
0001038833,000119312504070563,2004-04-27,EDUCATION LOANS INC /DE,no_permno_link
0001286643,000094787104001246,2004-04-28,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES GSC-1,no_permno_link
0001286643,000094787104001244,2004-04-28,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES GSC-1,no_permno_link
0001017813,000101781304000021,2004-04-28,PATIENT INFOSYSTEMS INC,no_permno_link
0001269371,000106823804000739,2004-04-29,STRUCTURED OBLIGATIONS CORP LONG TERM CERTS SER 2003-5,no_permno_link
0001288251,000106823804000741,2004-04-29,STRUCTURED PRODUCTS CORP CORTS TRUST FOR BOEING CO NOTES,no_permno_link
0001255604,000106823804000737,2004-04-29,STRUCTURED OBLIGATIONS CORP LONG TERM CERT SER 2003 3,no_permno_link
0001264157,000106823804000738,2004-04-29,STRUCTURED OBLIGATIONS CORP LONG TERM CERTS SER 2003-4,no_permno_link
0001142406,000089109204002102,2004-04-29,MICROHELIX INC,no_permno_link
0000874482,000087448204000018,2004-04-30,UNION NATIONAL FINANCIAL CORP / PA,no_permno_link
0000731122,000089322004000851,2004-04-30,CCFNB BANCORP INC,no_permno_link
0001124813,000116923204002516,2004-04-30,CLIXTIX INC,no_permno_link
0001070190,000091431704001803,2004-04-30,ONEIDA FINANCIAL CORP,no_permno_link
0001088401,000114041704000014,2004-05-04,INVVISION CAPITAL INC,no_permno_link
0000810691,000111650204001154,2004-05-05,CYGENE LABORATORIES INC,no_permno_link
0000820901,000107997404000054,2004-05-05,ARETE INDUSTRIES INC,no_permno_link
0001071264,000089109204002291,2004-05-06,JACKSONVILLE BANCORP INC /FL/,no_permno_link
0000855109,000085510904000013,2004-05-06,EXABYTE CORP /DE/,no_permno_link
0001216964,000114090504000035,2004-05-07,SILVER STAR ENERGY INC,no_permno_link
0000869495,000118206304000087,2004-05-07,DEEP WELL OIL & GAS INC,no_permno_link
0001143716,000112528204002029,2004-05-07,MERRILL LYNCH DEPOSITOR INC PREFERREDPLUS TRUST SERIES FRD 1,no_permno_link
0000830483,000101041204000173,2004-05-07,OAK RIDGE MICRO-ENERGY INC,no_permno_link
0001080759,000107258804000171,2004-05-10,CHINA NETTV HOLDINGS INC,no_permno_link
0001236997,000108503704000477,2004-05-10,"XTEN NETWORKS, INC",no_permno_link
0000910073,000115752304004596,2004-05-10,NEW YORK COMMUNITY BANCORP INC,no_permno_link
0001089773,000094344004000211,2004-05-10,BF ACQUISITION GROUP I INC,no_permno_link
0001056943,000105694304000046,2004-05-11,PEOPLES FINANCIAL SERVICES CORP/,no_permno_link
0001276419,000106823804000759,2004-05-11,STRUCTURED PRODUCTS CORP CORTS TRUST VERIZON MD DEBENTURES,no_permno_link
0001276419,000106823804000757,2004-05-11,STRUCTURED PRODUCTS CORP CORTS TRUST VERIZON MD DEBENTURES,no_permno_link
0001009395,000100939504000014,2004-05-11,DIGITAL VIDEO SYSTEMS INC,no_permno_link
0000869498,000112785504000247,2004-05-11,FI TEK VII INC,no_permno_link
0001283463,000106823804000780,2004-05-12,STRUCTURED PRODUCTS CORP CORTS TRUST FOR FORD DEBENTURES,no_permno_link
0001288749,000106823804000764,2004-05-12,CorTS(R) Trust III For Verizon Global Funding Notes,no_permno_link
0001286608,000106823804000783,2004-05-12,STRUCTURED PRODUCTS CORP TIERS R INFLATION LINKED TR 2004-21,no_permno_link
0001257017,000106823804000777,2004-05-12,STRUCTURED PRODUCTS CORP CASTSM STEP UP TR FOR MORG STAN NTS,no_permno_link
0001226024,000106823804000775,2004-05-12,STRUCTURED PRODUCTS CORP CAST STEP UP TR FOR CIT GROUP NOTES,no_permno_link
0001276419,000106823804000785,2004-05-12,STRUCTURED PRODUCTS CORP CORTS TRUST VERIZON MD DEBENTURES,no_permno_link
0001228086,000106823804000776,2004-05-12,STRUCTURED PRODUCTS CORP CAST STEP UP TRUST DOW CHEM NOTES,no_permno_link
0001283464,000106823804000773,2004-05-12,STRUCTURED PRODUCTS CORP CORTS TR FOR PECO ENERGY CAP TR III,no_permno_link
0001282616,000106823804000778,2004-05-12,STRUCTURED PRODUCTS CORPTIERS PRINC PROT CERTS TR SER PXT,no_permno_link
0001171689,000107258804000179,2004-05-12,LONGBOW MINING CORP,no_permno_link
0001221684,000106823804000774,2004-05-12,CORTS TRUST FOR THE DOW CHEMICAL CO DEBENTURES,no_permno_link
0000723906,000101968704001029,2004-05-13,MIRACOR DIAGNOSTICS INC,no_permno_link
0001085402,000101041204000191,2004-05-13,OMNI MEDICAL HOLDINGS INC,no_permno_link
0001080759,000106594904000044,2004-05-13,CHINA NETTV HOLDINGS INC,no_permno_link
0001276419,000106823804000789,2004-05-13,STRUCTURED PRODUCTS CORP CORTS TRUST VERIZON MD DEBENTURES,no_permno_link
0000354507,000102670004000039,2004-05-13,UNICORP INC /NEW,no_permno_link
0001276419,000106823804000788,2004-05-13,STRUCTURED PRODUCTS CORP CORTS TRUST VERIZON MD DEBENTURES,no_permno_link
0000723906,000101968704001030,2004-05-13,MIRACOR DIAGNOSTICS INC,no_permno_link
0001143653,000101054904000305,2004-05-14,GREEN POWER ENERGY HOLDINGS CORP,no_permno_link
0001072935,000111650204001307,2004-05-14,EXPERTISE TECHNOLOGY INNOVATION INC,no_permno_link
0001084384,000101738604000081,2004-05-14,ELEPHANT TALK COMMUNICATIONS INC,no_permno_link
0001201846,000106823804000796,2004-05-17,STRUCTURED PRODUCTS CORP CORTS TRUST GE GLOBAL INS NOTES,no_permno_link
0000945764,000089907804000350,2004-05-17,DENBURY RESOURCES INC,no_permno_link
0001201846,000106823804000798,2004-05-17,STRUCTURED PRODUCTS CORP CORTS TRUST GE GLOBAL INS NOTES,no_permno_link
0000857073,000101054904000325,2004-05-18,PROCESS EQUIPMENT INC,no_permno_link
0001201846,000106823804000804,2004-05-19,STRUCTURED PRODUCTS CORP CORTS TRUST GE GLOBAL INS NOTES,no_permno_link
0001201846,000106823804000802,2004-05-19,STRUCTURED PRODUCTS CORP CORTS TRUST GE GLOBAL INS NOTES,no_permno_link
0000804157,000080415704000004,2004-05-19,HEALTH OUTCOMES MANAGEMENT INC,no_permno_link
0000879301,000117749704000118,2004-05-20,LASERSIGHT INC /DE,no_permno_link
0000910073,000115752304005080,2004-05-21,NEW YORK COMMUNITY BANCORP INC,no_permno_link
0000945764,000089907804000379,2004-05-24,DENBURY RESOURCES INC,no_permno_link
0001283603,000106823804000810,2004-05-24,STRUCTURED PRODUCTS CORP CORTS TRUST FOR FOR WORLDCOM NOTES,no_permno_link
0001271387,000112528204002483,2004-05-24,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES SPR 1,no_permno_link
0000713671,000071367104000027,2004-05-24,DNB FINANCIAL CORP /PA/,no_permno_link
0001280962,000112528204002484,2004-05-24,MERRILL LYNCH DEPOSITOR INC PPLUS TRUST SERIES TWC-1,no_permno_link
0001089776,000094344004000261,2004-05-25,BF ACQUISITION GROUP III INC,no_permno_link
0001089778,000094344004000267,2004-05-25,BF ACQUISITION GROUP V INC,no_permno_link
0001089777,000094344004000263,2004-05-25,BF ACQUISITION GROUP IV INC,no_permno_link
0000830483,000101041204000224,2004-05-25,OAK RIDGE MICRO-ENERGY INC,no_permno_link
0001130126,000114420404007662,2004-05-26,TILLMAN INTERNATIONAL INC,no_permno_link
0001269371,000106823804000826,2004-05-26,STRUCTURED OBLIGATIONS CORP LONG TERM CERTS SER 2003-5,no_permno_link
0001279940,000106823804000821,2004-05-26,STRUCTURED OBLIGATIONS CORP TRUST SPRINT CAPITAL CER 2002-1,no_permno_link
0001038833,000119312504094656,2004-05-26,EDUCATION LOANS INC /DE,no_permno_link
0000713671,000071367104000029,2004-05-26,DNB FINANCIAL CORP /PA/,no_permno_link
0001255604,000106823804000824,2004-05-26,STRUCTURED OBLIGATIONS CORP LONG TERM CERT SER 2003 3,no_permno_link
0001227090,000106823804000823,2004-05-26,STRUCTURED OBLIGATIONS CORP SELECT NOTES TRUST LT SER 2003-2,no_permno_link
0001038833,000119312504094653,2004-05-26,EDUCATION LOANS INC /DE,no_permno_link
0001112902,000101041204000226,2004-05-26,VISIONGATEWAY INC,no_permno_link
0001264157,000106823804000825,2004-05-26,STRUCTURED OBLIGATIONS CORP LONG TERM CERTS SER 2003-4,no_permno_link
0001223444,000106823804000822,2004-05-26,STRUCTURED OBLIGATIONS CORP SELECT NOTES TRUST LT SER 2003-1,no_permno_link
0001225527,000106823804000834,2004-05-27,STRUCTURED PRODUCTS CORP CAST SM STEP UP TR II GE CAP CORP,no_permno_link
0001221112,000106823804000835,2004-05-27,STRUCTURED PRODUCTS CORP CAST STEP-UP TRUST FOR GECC NOTES,no_permno_link
0001230352,000106823804000833,2004-05-27,STRUCTURED PROD CORP STEP UP TR CREDIT SUISSE FIRST BOSTON,no_permno_link
0001283456,000106823804000836,2004-05-27,STRUCTURED PRODUCTS CORP CORTS TR FOR U S WEST COMM DEBENTUR,no_permno_link
0001076784,000110454004000131,2004-05-28,GAOFENG GOLD CORP,no_permno_link
0001170848,000101041204000230,2004-06-02,LONE MOOSE ADVENTURES INC,no_permno_link
0000925661,000102670004000050,2004-06-02,ECOLOGICAL SERVICES INC,no_permno_link
0001084384,000101738604000102,2004-06-02,ELEPHANT TALK COMMUNICATIONS INC,no_permno_link
0001290914,000094787104001524,2004-06-02,PPLUS Trust Series DCNA-1,no_permno_link
0001290914,000094787104001522,2004-06-02,PPLUS Trust Series DCNA-1,no_permno_link
0000076267,000007626704000009,2004-06-03,PARK ELECTROCHEMICAL CORP,no_permno_link
