cik,acc_nodash,date_filed,filing_year,auditor_out,auditor_in,out_big4,in_big4,quality_direction,reason,disagreements
702325,000070232501500008,2001-02-22,2001,,,,,nonBig4_to_nonBig4,unclassified,False
730030,000073003001000003,2001-02-22,2001,,,,,nonBig4_to_nonBig4,unclassified,False
778808,000093176301000274,2001-02-22,2001,,BDO,,False,nonBig4_to_nonBig4,unclassified,True
29590,000095014401003092,2001-02-23,2001,,Ernst & Young,,True,nonBig4_to_Big4,unclassified,True
868074,000095013401001695,2001-02-23,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1093818,000112528201000699,2001-02-23,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1067092,000095013101001237,2001-02-23,2001,,Arthur Andersen,,True,nonBig4_to_Big4,unclassified,True
1037453,000092532801500008,2001-02-23,2001,McGladrey,McGladrey,False,False,nonBig4_to_nonBig4,resignation,True
1014964,000091664101000223,2001-02-23,2001,,McGladrey,,False,nonBig4_to_nonBig4,dismissal,True
885195,000095014401003074,2001-02-23,2001,,,,,nonBig4_to_nonBig4,dismissal,False
1010698,000106083001000020,2001-02-23,2001,,,,,nonBig4_to_nonBig4,dismissal,True
351129,000107087601000025,2001-02-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1000778,000107735701000063,2001-02-26,2001,,Grant  Thornton,,False,nonBig4_to_nonBig4,unclassified,True
1037049,000089155401501133,2001-02-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
706863,000091064701500060,2001-02-27,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1038833,000104596901000259,2001-02-27,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1043473,000104347301500008,2001-02-28,2001,,,,,nonBig4_to_nonBig4,resignation,True
811671,000081167101500016,2001-03-01,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1095175,000101968701000260,2001-03-01,2001,,,,,nonBig4_to_nonBig4,unclassified,False
811671,000081167101500015,2001-03-01,2001,,,,,nonBig4_to_nonBig4,unclassified,False
820295,000082029501500003,2001-03-01,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1095315,000095013401001895,2001-03-02,2001,"Arthur
                           Andersen",KPMG,True,True,Big4_to_Big4,dismissal,True
1075602,000093066101000519,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
930459,000093066101000524,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
819975,000093066101000520,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
890493,000093066101000520,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
863856,000093066101000523,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
1059882,000093066101000522,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
894356,000093041301000479,2001-03-02,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1000112,000093066101000521,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
819975,000093066101000523,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
905604,000093066101000525,2001-03-02,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,unclassified,True
811671,000081167101500017,2001-03-02,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1092976,000112878001500011,2001-03-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
891462,000108638001500011,2001-03-05,2001,,,,,nonBig4_to_nonBig4,dismissal,True
807732,000095011601000373,2001-03-05,2001,,McGladrey,,False,nonBig4_to_nonBig4,unclassified,True
803026,000111667901000209,2001-03-05,2001,Ernst & Young,Ernst & Young,True,True,Big4_to_Big4,dismissal,True
53260,000005326001000001,2001-03-05,2001,BDO,KPMG,False,True,nonBig4_to_Big4,resignation,True
918411,000091841101500003,2001-03-05,2001,,,,,nonBig4_to_nonBig4,unclassified,False
889571,000088957001000004,2001-03-06,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,dismissal,True
748055,000074805501500010,2001-03-06,2001,,,,,nonBig4_to_nonBig4,unclassified,False
889570,000088957001000003,2001-03-06,2001,KPMG,Arthur Andersen,True,True,Big4_to_Big4,dismissal,True
105668,000095015201500150,2001-03-06,2001,,,,,nonBig4_to_nonBig4,unclassified,False
200245,000002040501000019,2001-03-06,2001,PricewaterhouseCoopers,KPMG,True,True,Big4_to_Big4,dismissal,True
1014964,000091664101000288,2001-03-06,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1083277,000101359601000024,2001-03-07,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1056943,000090359401500029,2001-03-07,2001,,,,,nonBig4_to_nonBig4,dismissal,True
32312,000003231201500012,2001-03-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1024015,000091205701502976,2001-03-08,2001,,,,,nonBig4_to_nonBig4,dismissal,True
894356,000095012301002068,2001-03-08,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1000926,000095011601000392,2001-03-08,2001,KPMG,,True,,Big4_to_nonBig4,dismissal,True
1010698,000106083001000024,2001-03-08,2001,,,,,nonBig4_to_nonBig4,dismissal,True
837179,000101968701000286,2001-03-08,2001,,KPMG,,True,nonBig4_to_Big4,unclassified,False
5656,000109851201000026,2001-03-08,2001,,,,,nonBig4_to_nonBig4,dismissal,True
894417,000091228201000058,2001-03-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1031911,000089161801500170,2001-03-09,2001,PricewaterhouseCoopers,,True,,Big4_to_nonBig4,resignation,True
29590,000095014401003410,2001-03-09,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,True
1080399,000091228201000057,2001-03-09,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1056943,000090359401500030,2001-03-12,2001,,,,,nonBig4_to_nonBig4,dismissal,False
1057226,000105050201000216,2001-03-12,2001,,,,,nonBig4_to_nonBig4,resignation,True
1114898,000093176301000401,2001-03-12,2001,,,,,nonBig4_to_nonBig4,dismissal,True
225211,000022521101000006,2001-03-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
876528,000103883801000167,2001-03-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
53320,000101968701000298,2001-03-12,2001,,,,,nonBig4_to_nonBig4,unclassified,False
354699,000095012301500188,2001-03-12,2001,,Ernst & Young,,True,nonBig4_to_Big4,dismissal,False
354699,000095012301500187,2001-03-12,2001,,,,,nonBig4_to_nonBig4,dismissal,False
895650,000089565001000004,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
54424,000093980201000106,2001-03-13,2001,,,,,nonBig4_to_nonBig4,resignation,True
916791,000095012301500199,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
890175,000104596901000296,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1095175,000101968701000308,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1102301,000101968701000307,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1095175,000101968701000309,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1094744,000104596901000296,2001-03-13,2001,,,,,nonBig4_to_nonBig4,unclassified,False
861819,000095012901001425,2001-03-14,2001,,,,,unknown,,False
1010698,000106083001500006,2001-03-14,2001,,,,,nonBig4_to_nonBig4,dismissal,True
